symbol	name	location
ABCG5	ATP binding cassette subfamily G member 5	2p21
ABCG8	ATP binding cassette subfamily G member 8	2p21
ABHD1	abhydrolase domain containing 1	2p23.3
ABHD2	abhydrolase domain containing 2, acylglycerol lipase	15q26.1
ABHD3	abhydrolase domain containing 3, phospholipase	18q11.2
ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	14q11.2
ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	3p21.33
ABHD6	abhydrolase domain containing 6, acylglycerol lipase	3p14.3
ABHD8	abhydrolase domain containing 8	19p13.11
ABHD10	abhydrolase domain containing 10, depalmitoylase	3q13.2
ABHD11	abhydrolase domain containing 11	7q11.23
ABHD12	abhydrolase domain containing 12, lysophospholipase	20p11.21
ABHD12B	abhydrolase domain containing 12B	14q22.1
ABHD13	abhydrolase domain containing 13	13q33.3
ABHD14A	abhydrolase domain containing 14A	3p21.2
ABHD14B	abhydrolase domain containing 14B	3p21.2
ABHD15	abhydrolase domain containing 15	17q11.2
ABHD16A	abhydrolase domain containing 16A, phospholipase	6p21.33
ABHD16B	abhydrolase domain containing 16B	20q13.33
ABHD17A	abhydrolase domain containing 17A, depalmitoylase	19p13.3
ABHD17B	abhydrolase domain containing 17B, depalmitoylase	9q21.13
ABHD17C	abhydrolase domain containing 17C, depalmitoylase	15q25.1
ABHD18	abhydrolase domain containing 18	4q28.2
ABI1	abl interactor 1	10p12.1
ABI2	abl interactor 2	2q33.2
ABI3	ABI family member 3	17q21.32
